Reference area,Source,Sex,Time,Total,Agriculture,Non-agriculture,
Croatia,HIES - EU Statistics on Income and Living Conditions,Total,2020,3.6,27.7,2.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Croatia,HIES - EU Statistics on Income and Living Conditions,Male,2020,2.7,22.7,1.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Croatia,HIES - EU Statistics on Income and Living Conditions,Female,2020,4.6,40.6,3.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Croatia,HIES - EU Statistics on Income and Living Conditions,Total,2021,3.4,15.8,2.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Croatia,HIES - EU Statistics on Income and Living Conditions,Male,2021,2.7,13.4,2.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Croatia,HIES - EU Statistics on Income and Living Conditions,Female,2021,4.4,21.8,3.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Total,2011,15.1,66.6,14.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Male,2011,18.9,73.1,17.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Female,2011,11.0,48.7,10.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Total,2012,15.5,68.0,14.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Male,2012,17.5,73.1,16.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Female,2012,13.3,55.4,12.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Total,2013,14.0,69.0,12.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Male,2013,16.5,71.6,14.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Female,2013,11.4,61.5,10.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Total,2014,14.3,59.5,13.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Male,2014,16.7,57.9,15.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Female,2014,11.9,64.6,11.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Total,2015,15.7,59.2,14.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Male,2015,17.6,59.8,15.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Female,2015,13.7,56.3,13.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Total,2016,14.0,66.7,13.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Male,2016,16.4,67.7,14.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Female,2016,11.5,61.3,11.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Total,2017,14.1,56.9,13.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Male,2017,16.2,57.2,15.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Female,2017,11.7,55.5,11.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Total,2018,13.1,58.8,12.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Male,2018,14.7,62.7,13.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Female,2018,11.3,41.4,11.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Total,2019,11.9,61.5,11.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Male,2019,13.2,66.1,11.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Female,2019,10.4,40.2,10.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Total,2020,11.6,57.9,10.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Male,2020,13.3,61.6,11.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Female,2020,9.6,35.5,9.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Total,2021,4.8,9.5,4.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Male,2021,4.0,9.2,3.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Cyprus,HIES - EU Statistics on Income and Living Conditions,Female,2021,5.6,,5.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Total,2011,18.1,30.9,17.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Male,2011,21.1,32.0,20.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Female,2011,14.1,27.8,13.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Total,2012,18.9,31.9,18.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Male,2012,22.4,35.6,21.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Female,2012,14.5,22.0,14.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Total,2013,18.7,33.1,18.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Male,2013,21.8,34.8,21.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Female,2013,14.9,29.0,14.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Total,2014,18.2,24.8,18.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Male,2014,21.0,28.5,20.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Female,2014,14.8,16.9,14.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Total,2015,18.5,26.5,18.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Male,2015,21.7,27.5,21.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Female,2015,14.4,24.6,14.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Total,2016,17.8,25.4,17.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Male,2016,21.1,29.2,20.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Female,2016,13.6,15.1,13.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Total,2017,17.4,25.6,17.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Male,2017,20.9,28.7,20.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Female,2017,13.0,17.8,12.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Total,2018,17.3,32.8,16.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Male,2018,21.3,36.7,20.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Female,2018,12.4,21.4,12.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Total,2019,16.7,29.7,16.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Male,2019,21.0,33.1,20.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Female,2019,11.5,19.0,11.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Total,2020,16.8,35.3,16.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Male,2020,21.0,38.4,20.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Female,2020,11.8,26.8,11.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Total,2021,16.8,32.2,16.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Male,2021,20.9,37.0,20.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Czechia,HIES - EU Statistics on Income and Living Conditions,Female,2021,11.6,20.5,11.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Côte d'Ivoire,LFS - Enquête Nationale sur la Situacion de l'Emploi,Total,2012,94.8,98.6,92.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Côte d'Ivoire,LFS - Enquête Nationale sur la Situacion de l'Emploi,Male,2012,93.3,98.4,89.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Côte d'Ivoire,LFS - Enquête Nationale sur la Situacion de l'Emploi,Female,2012,96.5,98.7,95.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Côte d'Ivoire,LFS - Enquête Nationale sur la Situacion de l'Emploi,Total,2013,97.7,99.5,96.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Côte d'Ivoire,LFS - Enquête Nationale sur la Situacion de l'Emploi,Male,2013,96.8,99.2,94.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Côte d'Ivoire,LFS - Enquête Nationale sur la Situacion de l'Emploi,Female,2013,98.9,99.9,98.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Côte d'Ivoire,LFS - Enquête Nationale sur la Situacion de l'Emploi,Total,2016,93.5,98.4,88.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Côte d'Ivoire,LFS - Enquête Nationale sur la Situacion de l'Emploi,Male,2016,91.3,97.9,83.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Côte d'Ivoire,LFS - Enquête Nationale sur la Situacion de l'Emploi,Female,2016,96.5,99.2,94.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Côte d'Ivoire,LFS - Enquête Régionale Intégrée sur l'Emploi et le Secteur Informel,Total,2017,86.7,89.3,84.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Côte d'Ivoire,LFS - Enquête Régionale Intégrée sur l'Emploi et le Secteur Informel,Male,2017,83.9,88.1,80.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Côte d'Ivoire,LFS - Enquête Régionale Intégrée sur l'Emploi et le Secteur Informel,Female,2017,90.7,92.1,90.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Côte d'Ivoire,LFS - Enquête Nationale sur la Situacion de l'Emploi,Total,2019,91.7,98.8,85.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Côte d'Ivoire,LFS - Enquête Nationale sur la Situacion de l'Emploi,Male,2019,88.5,98.5,78.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Côte d'Ivoire,LFS - Enquête Nationale sur la Situacion de l'Emploi,Female,2019,95.9,99.4,93.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Denmark,HIES - EU Statistics on Income and Living Conditions,Total,2011,7.2,52.4,6.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Male,2011,9.4,55.2,8.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Female,2011,4.7,,4.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Total,2012,10.8,48.8,10.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Male,2012,14.6,53.5,13.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Female,2012,6.4,,6.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Total,2013,10.9,49.5,10.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Male,2013,14.7,50.7,13.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Female,2013,6.6,40.0,6.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Total,2014,11.4,25.7,11.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Male,2014,15.0,27.2,14.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Female,2014,7.3,,7.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Total,2015,11.0,41.0,10.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Male,2015,14.2,45.4,13.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Female,2015,7.3,,7.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Total,2016,7.3,36.5,6.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Male,2016,8.5,38.0,7.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Female,2016,5.9,31.1,5.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Total,2017,7.0,26.7,6.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Male,2017,8.4,33.2,7.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Female,2017,5.4,,5.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Total,2018,7.8,34.8,7.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Male,2018,9.6,34.2,8.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Female,2018,5.8,37.6,5.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Total,2019,7.6,40.1,6.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Male,2019,9.2,42.6,7.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Denmark,HIES - EU Statistics on Income and Living Conditions,Female,2019,5.9,31.6,5.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
Djibouti,HS - Enquête Djiboutienne auprès des Ménages,Total,2017,50.5,81.6,50.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Djibouti,HS - Enquête Djiboutienne auprès des Ménages,Male,2017,45.7,81.4,45.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Djibouti,HS - Enquête Djiboutienne auprès des Ménages,Female,2017,64.9,82.4,64.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Dominican Republic,LFS - Encuesta Nacional de Fuerza de Trabajo,Total,2011,56.2,84.2,52.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Dominican Republic,LFS - Encuesta Nacional de Fuerza de Trabajo,Male,2011,56.9,84.0,51.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
